text,option_a,option_b,option_c,option_d,correct_option,question_type,extra_data
What type of connector is used for wired Ethernet?,RJ-45,USB,HDMI,RJ-11,A,multiple_choice,
Which expansion slot is most commonly used for graphics cards today?,PCI,AGP,PCIe,ISA,C,multiple_choice,
Which of the following memory types is volatile?,ROM,Flash,RAM,EEPROM,C,multiple_choice,
What component is responsible for starting POST?,HDD,BIOS,GPU,SSD,B,multiple_choice,
Which file system is default for Windows 10?,FAT32,EXT4,NTFS,HFS+,C,multiple_choice,
Which device provides power to all internal components?,CPU,Motherboard,PSU,RAM,C,multiple_choice,
Which Windows utility partitions and formats drives?,ipconfig,diskpart,msconfig,dxdiag,B,multiple_choice,
Which RAID level mirrors data for redundancy?,RAID 0,RAID 1,RAID 5,RAID 10,B,multiple_choice,
Which cable is least susceptible to interference?,UTP,STP,Coaxial,Fiber Optic,D,multiple_choice,
Which command shows IP configuration in Windows?,netstat,ipconfig,tracert,ping,B,multiple_choice,
Which laptop component is often proprietary?,CPU,GPU,RAM,Keyboard,B,multiple_choice,
What kind of device is used to control multiple computers with one set of peripherals?,Router,KVM Switch,Hub,Switch,B,multiple_choice,
Which type of display uses liquid crystals?,LED,LCD,CRT,OLED,B,multiple_choice,
Which connector is used to output video and audio?,HDMI,VGA,DisplayPort,USB-A,A,multiple_choice,
Which command-line tool checks disk integrity?,format,chkdsk,netstat,bootrec,B,multiple_choice,
Which printer type uses toner?,Inkjet,Daisy-wheel,Dot-matrix,Laser,D,multiple_choice,
Which of the following is a mobile operating system?,macOS,Linux,Android,Windows Server,C,multiple_choice,
Which Wi-Fi standard operates on 5 GHz only?,802.11a,802.11b,802.11g,802.11n,A,multiple_choice,
Which feature lets you boot an OS from a flash drive?,Virtualization,Secure Boot,UEFI Boot,BIOS Boot Order,C,multiple_choice,
Which Windows tool creates a restore point?,Device Manager,System Restore,Task Scheduler,Event Viewer,B,multiple_choice,
Which cloud model provides hardware only?,PaaS,SaaS,IaaS,FaaS,C,multiple_choice,
What kind of device can connect a network to the internet?,Switch,Firewall,Router,Repeater,C,multiple_choice,
Which connector has 24 pins and powers a motherboard?,4-pin Molex,6-pin PCIe,24-pin ATX,8-pin EPS,C,multiple_choice,
Which technology allows you to connect external GPU to a laptop?,USB-C,Thunderbolt,HDMI,eSATA,B,multiple_choice,
Which tool is used to crimp RJ-45 connectors?,Punchdown tool,Loopback plug,Cable tester,Crimper,D,multiple_choice
Which device allows multiple computers to share a single internet connection?,Router,Modem,Switch,Hub,A,multiple_choice,
Which command shows open ports and connections?,ipconfig,tracert,netstat,ping,C,multiple_choice,
Which of these is a biometric authentication method?,Password,Smart card,Fingerprint,PIN,C,multiple_choice,
Which storage device uses magnetic platters?,SSD,Flash Drive,HDD,SD Card,C,multiple_choice,
Which protocol does ping use?,TCP,UDP,ICMP,FTP,C,multiple_choice,
Which component improves system cooling?,Power Supply,Heatsink,CMOS,Northbridge,B,multiple_choice,
Which tool would help with cable management inside a PC?,Anti-static strap,Thermal paste,Zip ties,POST card,C,multiple_choice,
What’s the minimum number of disks required for RAID 5?,2,3,4,5,B,multiple_choice,
Which expansion slot is obsolete today?,PCIe,PCI,AGP,USB,C,multiple_choice,
What technology protects BIOS settings?,SRAM,EEPROM,CMOS,Cache,C,multiple_choice,
Which of these is a valid IPv4 address?,192.168.1.256,10.0.0.1,300.1.1.1,123.456.78.90,B,multiple_choice,
Which wireless standard introduced MIMO?,802.11a,802.11b,802.11g,802.11n,D,multiple_choice,
Which command repairs the boot sector?,sfc /scannow,chkdsk,bootrec /fixboot,format,C,multiple_choice,
Which cable can transmit video and audio digitally?,VGA,DVI,HDMI,DisplayPort,C,multiple_choice,
Which component has the fastest data access?,DVD,HDD,SSD,Tape,C,multiple_choice,
Which backup method captures the whole system?,Differential,Full,Incremental,Partial,B,multiple_choice,
Which of these is a Windows recovery environment tool?,Safe Mode,Event Viewer,WinRE,System Info,C,multiple_choice,
Which setting allows devices to wake a PC?,Hibernate,Wake-on-LAN,Sleep,Fast Startup,B,multiple_choice,
Which port is used for secure web traffic?,20,21,80,443,D,multiple_choice,
Which Windows tool helps reduce file fragmentation?,defrag,sfc,msconfig,dxdiag,A,multiple_choice,
